"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw","C1_Odds","C2_Odds","C3_Odds","U1_Odds","U2_Odds","Rare_Odds"
"Axi T7 Relic (Radiant) ","Pangolin Prime Blade (20.0%)","Corinth Prime Receiver (20.0%)","Inaros Prime Systems (16.67%)","Bronco Prime Receiver (16.67%)","Forma (16.67%)","Tekko Prime Blade (10.0%)","Axi","T7","Radiant","Pangolin Prime Blade","Corinth Prime Receiver","Inaros Prime Systems","Bronco Prime Receiver","Forma","Tekko Prime Blade","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V1 Relic (Intact) ","Odonata Prime Systems (25.33%)","Carrier Prime Systems (25.33%)","Dual Kamas Prime (25.33%)","Volt Prime Neuroptics (11.0%)","Forma (11.0%)","Vauban Prime Chassis (2.0%)","Axi","V1","Intact","Odonata Prime Systems","Carrier Prime Systems","Dual Kamas Prime","Volt Prime Neuroptics","Forma","Vauban Prime Chassis","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V1 Relic (Exceptional) ","Odonata Prime Systems (23.33%)","Carrier Prime Systems (23.33%)","Dual Kamas Prime (23.33%)","Volt Prime Neuroptics (13.0%)","Forma (13.0%)","Vauban Prime Chassis (4.0%)","Axi","V1","Exceptional","Odonata Prime Systems","Carrier Prime Systems","Dual Kamas Prime","Volt Prime Neuroptics","Forma","Vauban Prime Chassis","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V1 Relic (Flawless) ","Odonata Prime Systems (20.0%)","Carrier Prime Systems (20.0%)","Dual Kamas Prime (20.0%)","Volt Prime Neuroptics (17.0%)","Forma (17.0%)","Vauban Prime Chassis (6.0%)","Axi","V1","Flawless","Odonata Prime Systems","Carrier Prime Systems","Dual Kamas Prime","Volt Prime Neuroptics","Forma","Vauban Prime Chassis","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V1 Relic (Radiant) ","Volt Prime Neuroptics (20.0%)","Forma (20.0%)","Odonata Prime Systems (16.67%)","Carrier Prime Systems (16.67%)","Dual Kamas Prime (16.67%)","Vauban Prime Chassis (10.0%)","Axi","V1","Radiant","Volt Prime Neuroptics","Forma","Odonata Prime Systems","Carrier Prime Systems","Dual Kamas Prime","Vauban Prime Chassis","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V10 Relic (Intact) ","Hikou Prime Stars (25.33%)","Cernos Prime String (25.33%)","Lex Prime Receiver (25.33%)","Forma (11.0%)","Valkyr Prime Systems (11.0%)","Venka Prime Gauntlet (2.0%)","Axi","V10","Intact","Hikou Prime Stars","Cernos Prime String","Lex Prime Receiver","Forma","Valkyr Prime Systems","Venka Prime Gauntlet","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V10 Relic (Exceptional) ","Hikou Prime Stars (23.33%)","Cernos Prime String (23.33%)","Lex Prime Receiver (23.33%)","Forma (13.0%)","Valkyr Prime Systems (13.0%)","Venka Prime Gauntlet (4.0%)","Axi","V10","Exceptional","Hikou Prime Stars","Cernos Prime String","Lex Prime Receiver","Forma","Valkyr Prime Systems","Venka Prime Gauntlet","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V10 Relic (Flawless) ","Hikou Prime Stars (20.0%)","Cernos Prime String (20.0%)","Lex Prime Receiver (20.0%)","Forma (17.0%)","Valkyr Prime Systems (17.0%)","Venka Prime Gauntlet (6.0%)","Axi","V10","Flawless","Hikou Prime Stars","Cernos Prime String","Lex Prime Receiver","Forma","Valkyr Prime Systems","Venka Prime Gauntlet","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V10 Relic (Radiant) ","Forma (20.0%)","Valkyr Prime Systems (20.0%)","Hikou Prime Stars (16.67%)","Cernos Prime String (16.67%)","Lex Prime Receiver (16.67%)","Venka Prime Gauntlet (10.0%)","Axi","V10","Radiant","Forma","Valkyr Prime Systems","Hikou Prime Stars","Cernos Prime String","Lex Prime Receiver","Venka Prime Gauntlet","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V2 Relic (Intact) ","Hikou Prime Pouch (25.33%)","Trinity Prime Systems (25.33%)","Mag Prime Neuroptics (25.33%)","Braton Prime Receiver (11.0%)","Boar Prime Barrel (11.0%)","Vectis Prime Stock (2.0%)","Axi","V2","Intact","Hikou Prime Pouch","Trinity Prime Systems","Mag Prime Neuroptics","Braton Prime Receiver","Boar Prime Barrel","Vectis Prime Stock","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V2 Relic (Exceptional) ","Hikou Prime Pouch (23.33%)","Trinity Prime Systems (23.33%)","Mag Prime Neuroptics (23.33%)","Braton Prime Receiver (13.0%)","Boar Prime Barrel (13.0%)","Vectis Prime Stock (4.0%)","Axi","V2","Exceptional","Hikou Prime Pouch","Trinity Prime Systems","Mag Prime Neuroptics","Braton Prime Receiver","Boar Prime Barrel","Vectis Prime Stock","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V2 Relic (Flawless) ","Hikou Prime Pouch (20.0%)","Trinity Prime Systems (20.0%)","Mag Prime Neuroptics (20.0%)","Braton Prime Receiver (17.0%)","Boar Prime Barrel (17.0%)","Vectis Prime Stock (6.0%)","Axi","V2","Flawless","Hikou Prime Pouch","Trinity Prime Systems","Mag Prime Neuroptics","Braton Prime Receiver","Boar Prime Barrel","Vectis Prime Stock","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V2 Relic (Radiant) ","Braton Prime Receiver (20.0%)","Boar Prime Barrel (20.0%)","Hikou Prime Pouch (16.67%)","Trinity Prime Systems (16.67%)","Mag Prime Neuroptics (16.67%)","Vectis Prime Stock (10.0%)","Axi","V2","Radiant","Braton Prime Receiver","Boar Prime Barrel","Hikou Prime Pouch","Trinity Prime Systems","Mag Prime Neuroptics","Vectis Prime Stock","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V3 Relic (Intact) ","Trinity Prime Neuroptics (25.33%)","Vasto Prime Barrel (25.33%)","Trinity Prime Systems (25.33%)","Orthos Prime (11.0%)","Braton Prime Receiver (11.0%)","Vectis Prime Stock (2.0%)","Axi","V3","Intact","Trinity Prime Neuroptics","Vasto Prime Barrel","Trinity Prime Systems","Orthos Prime","Braton Prime Receiver","Vectis Prime Stock","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V3 Relic (Exceptional) ","Trinity Prime Neuroptics (23.33%)","Vasto Prime Barrel (23.33%)","Trinity Prime Systems (23.33%)","Orthos Prime (13.0%)","Braton Prime Receiver (13.0%)","Vectis Prime Stock (4.0%)","Axi","V3","Exceptional","Trinity Prime Neuroptics","Vasto Prime Barrel","Trinity Prime Systems","Orthos Prime","Braton Prime Receiver","Vectis Prime Stock","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V3 Relic (Flawless) ","Trinity Prime Neuroptics (20.0%)","Vasto Prime Barrel (20.0%)","Trinity Prime Systems (20.0%)","Orthos Prime (17.0%)","Braton Prime Receiver (17.0%)","Vectis Prime Stock (6.0%)","Axi","V3","Flawless","Trinity Prime Neuroptics","Vasto Prime Barrel","Trinity Prime Systems","Orthos Prime","Braton Prime Receiver","Vectis Prime Stock","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V3 Relic (Radiant) ","Orthos Prime (20.0%)","Braton Prime Receiver (20.0%)","Trinity Prime Neuroptics (16.67%)","Vasto Prime Barrel (16.67%)","Trinity Prime Systems (16.67%)","Vectis Prime Stock (10.0%)","Axi","V3","Radiant","Orthos Prime","Braton Prime Receiver","Trinity Prime Neuroptics","Vasto Prime Barrel","Trinity Prime Systems","Vectis Prime Stock","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V4 Relic (Intact) ","Paris Prime (25.33%)","Trinity Prime Systems (25.33%)","Odonata Prime Harness (25.33%)","Cernos Prime (11.0%)","Forma (11.0%)","Vectis Prime Stock (2.0%)","Axi","V4","Intact","Paris Prime","Trinity Prime Systems","Odonata Prime Harness","Cernos Prime","Forma","Vectis Prime Stock","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V4 Relic (Exceptional) ","Paris Prime (23.33%)","Trinity Prime Systems (23.33%)","Odonata Prime Harness (23.33%)","Cernos Prime (13.0%)","Forma (13.0%)","Vectis Prime Stock (4.0%)","Axi","V4","Exceptional","Paris Prime","Trinity Prime Systems","Odonata Prime Harness","Cernos Prime","Forma","Vectis Prime Stock","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V4 Relic (Flawless) ","Paris Prime (20.0%)","Trinity Prime Systems (20.0%)","Odonata Prime Harness (20.0%)","Cernos Prime (17.0%)","Forma (17.0%)","Vectis Prime Stock (6.0%)","Axi","V4","Flawless","Paris Prime","Trinity Prime Systems","Odonata Prime Harness","Cernos Prime","Forma","Vectis Prime Stock","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V4 Relic (Radiant) ","Cernos Prime (20.0%)","Forma (20.0%)","Paris Prime (16.67%)","Trinity Prime Systems (16.67%)","Odonata Prime Harness (16.67%)","Vectis Prime Stock (10.0%)","Axi","V4","Radiant","Cernos Prime","Forma","Paris Prime","Trinity Prime Systems","Odonata Prime Harness","Vectis Prime Stock","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V5 Relic (Intact) ","Venka Prime Blades (25.33%)","Dual Kamas Prime (25.33%)","Forma (25.33%)","Braton Prime Receiver (11.0%)","Tigris Prime Receiver (11.0%)","Valkyr Prime Chassis (2.0%)","Axi","V5","Intact","Venka Prime Blades","Dual Kamas Prime","Forma","Braton Prime Receiver","Tigris Prime Receiver","Valkyr Prime Chassis","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V5 Relic (Exceptional) ","Venka Prime Blades (23.33%)","Dual Kamas Prime (23.33%)","Forma (23.33%)","Braton Prime Receiver (13.0%)","Tigris Prime Receiver (13.0%)","Valkyr Prime Chassis (4.0%)","Axi","V5","Exceptional","Venka Prime Blades","Dual Kamas Prime","Forma","Braton Prime Receiver","Tigris Prime Receiver","Valkyr Prime Chassis","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V5 Relic (Flawless) ","Venka Prime Blades (20.0%)","Dual Kamas Prime (20.0%)","Forma (20.0%)","Braton Prime Receiver (17.0%)","Tigris Prime Receiver (17.0%)","Valkyr Prime Chassis (6.0%)","Axi","V5","Flawless","Venka Prime Blades","Dual Kamas Prime","Forma","Braton Prime Receiver","Tigris Prime Receiver","Valkyr Prime Chassis","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V5 Relic (Radiant) ","Braton Prime Receiver (20.0%)","Tigris Prime Receiver (20.0%)","Venka Prime Blades (16.67%)","Dual Kamas Prime (16.67%)","Forma (16.67%)","Valkyr Prime Chassis (10.0%)","Axi","V5","Radiant","Braton Prime Receiver","Tigris Prime Receiver","Venka Prime Blades","Dual Kamas Prime","Forma","Valkyr Prime Chassis","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V6 Relic (Intact) ","Braton Prime (25.33%)","Ballistica Prime Lower Limb (25.33%)","Forma (25.33%)","Fang Prime Handle (11.0%)","Galatine Prime Handle (11.0%)","Valkyr Prime Chassis (2.0%)","Axi","V6","Intact","Braton Prime","Ballistica Prime Lower Limb","Forma","Fang Prime Handle","Galatine Prime Handle","Valkyr Prime Chassis","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V6 Relic (Exceptional) ","Braton Prime (23.33%)","Ballistica Prime Lower Limb (23.33%)","Forma (23.33%)","Fang Prime Handle (13.0%)","Galatine Prime Handle (13.0%)","Valkyr Prime Chassis (4.0%)","Axi","V6","Exceptional","Braton Prime","Ballistica Prime Lower Limb","Forma","Fang Prime Handle","Galatine Prime Handle","Valkyr Prime Chassis","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V6 Relic (Flawless) ","Braton Prime (20.0%)","Ballistica Prime Lower Limb (20.0%)","Forma (20.0%)","Fang Prime Handle (17.0%)","Galatine Prime Handle (17.0%)","Valkyr Prime Chassis (6.0%)","Axi","V6","Flawless","Braton Prime","Ballistica Prime Lower Limb","Forma","Fang Prime Handle","Galatine Prime Handle","Valkyr Prime Chassis","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V6 Relic (Radiant) ","Fang Prime Handle (20.0%)","Galatine Prime Handle (20.0%)","Braton Prime (16.67%)","Ballistica Prime Lower Limb (16.67%)","Forma (16.67%)","Valkyr Prime Chassis (10.0%)","Axi","V6","Radiant","Fang Prime Handle","Galatine Prime Handle","Braton Prime","Ballistica Prime Lower Limb","Forma","Valkyr Prime Chassis","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V7 Relic (Intact) ","Nami Skyla Prime (25.33%)","Lex Prime Barrel (25.33%)","Valkyr Prime (25.33%)","Kogake Prime (11.0%)","Silva & Aegis Prime (11.0%)","Venka Prime Gauntlet (2.0%)","Axi","V7","Intact","Nami Skyla Prime","Lex Prime Barrel","Valkyr Prime","Kogake Prime","Silva & Aegis Prime","Venka Prime Gauntlet","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V7 Relic (Exceptional) ","Nami Skyla Prime (23.33%)","Lex Prime Barrel (23.33%)","Valkyr Prime (23.33%)","Kogake Prime (13.0%)","Silva & Aegis Prime (13.0%)","Venka Prime Gauntlet (4.0%)","Axi","V7","Exceptional","Nami Skyla Prime","Lex Prime Barrel","Valkyr Prime","Kogake Prime","Silva & Aegis Prime","Venka Prime Gauntlet","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V7 Relic (Flawless) ","Nami Skyla Prime (20.0%)","Lex Prime Barrel (20.0%)","Valkyr Prime (20.0%)","Kogake Prime (17.0%)","Silva & Aegis Prime (17.0%)","Venka Prime Gauntlet (6.0%)","Axi","V7","Flawless","Nami Skyla Prime","Lex Prime Barrel","Valkyr Prime","Kogake Prime","Silva & Aegis Prime","Venka Prime Gauntlet","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V7 Relic (Radiant) ","Kogake Prime (20.0%)","Silva & Aegis Prime (20.0%)","Nami Skyla Prime (16.67%)","Lex Prime Barrel (16.67%)","Valkyr Prime (16.67%)","Venka Prime Gauntlet (10.0%)","Axi","V7","Radiant","Kogake Prime","Silva & Aegis Prime","Nami Skyla Prime","Lex Prime Barrel","Valkyr Prime","Venka Prime Gauntlet","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V8 Relic (Intact) ","Odonata Prime Systems (25.33%)","Forma (25.33%)","Lex Prime Receiver (25.33%)","Volt Prime Chassis (11.0%)","Odonata Prime (11.0%)","Volt Prime Neuroptics (2.0%)","Axi","V8","Intact","Odonata Prime Systems","Forma","Lex Prime Receiver","Volt Prime Chassis","Odonata Prime","Volt Prime Neuroptics","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V8 Relic (Exceptional) ","Odonata Prime Systems (23.33%)","Forma (23.33%)","Lex Prime Receiver (23.33%)","Volt Prime Chassis (13.0%)","Odonata Prime (13.0%)","Volt Prime Neuroptics (4.0%)","Axi","V8","Exceptional","Odonata Prime Systems","Forma","Lex Prime Receiver","Volt Prime Chassis","Odonata Prime","Volt Prime Neuroptics","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V8 Relic (Flawless) ","Odonata Prime Systems (20.0%)","Forma (20.0%)","Lex Prime Receiver (20.0%)","Volt Prime Chassis (17.0%)","Odonata Prime (17.0%)","Volt Prime Neuroptics (6.0%)","Axi","V8","Flawless","Odonata Prime Systems","Forma","Lex Prime Receiver","Volt Prime Chassis","Odonata Prime","Volt Prime Neuroptics","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V8 Relic (Radiant) ","Volt Prime Chassis (20.0%)","Odonata Prime (20.0%)","Odonata Prime Systems (16.67%)","Forma (16.67%)","Lex Prime Receiver (16.67%)","Volt Prime Neuroptics (10.0%)","Axi","V8","Radiant","Volt Prime Chassis","Odonata Prime","Odonata Prime Systems","Forma","Lex Prime Receiver","Volt Prime Neuroptics","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi V9 Relic (Intact) ","Valkyr Prime (25.33%)","Saryn Prime Neuroptics (25.33%)","Forma (25.33%)","Valkyr Prime Systems (11.0%)","Spira Prime Blade (11.0%)","Venka Prime Gauntlet (2.0%)","Axi","V9","Intact","Valkyr Prime","Saryn Prime Neuroptics","Forma","Valkyr Prime Systems","Spira Prime Blade","Venka Prime Gauntlet","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi V9 Relic (Exceptional) ","Valkyr Prime (23.33%)","Saryn Prime Neuroptics (23.33%)","Forma (23.33%)","Valkyr Prime Systems (13.0%)","Spira Prime Blade (13.0%)","Venka Prime Gauntlet (4.0%)","Axi","V9","Exceptional","Valkyr Prime","Saryn Prime Neuroptics","Forma","Valkyr Prime Systems","Spira Prime Blade","Venka Prime Gauntlet","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi V9 Relic (Flawless) ","Valkyr Prime (20.0%)","Saryn Prime Neuroptics (20.0%)","Forma (20.0%)","Valkyr Prime Systems (17.0%)","Spira Prime Blade (17.0%)","Venka Prime Gauntlet (6.0%)","Axi","V9","Flawless","Valkyr Prime","Saryn Prime Neuroptics","Forma","Valkyr Prime Systems","Spira Prime Blade","Venka Prime Gauntlet","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi V9 Relic (Radiant) ","Valkyr Prime Systems (20.0%)","Spira Prime Blade (20.0%)","Valkyr Prime (16.67%)","Saryn Prime Neuroptics (16.67%)","Forma (16.67%)","Venka Prime Gauntlet (10.0%)","Axi","V9","Radiant","Valkyr Prime Systems","Spira Prime Blade","Valkyr Prime","Saryn Prime Neuroptics","Forma","Venka Prime Gauntlet","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi W1 Relic (Intact) ","Aksomati Prime Receiver (25.33%)","Stradavar Prime Receiver (25.33%)","Bronco Prime Receiver (25.33%)","Inaros Prime (11.0%)","Forma (11.0%)","Wukong Prime (2.0%)","Axi","W1","Intact","Aksomati Prime Receiver","Stradavar Prime Receiver","Bronco Prime Receiver","Inaros Prime","Forma","Wukong Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi W1 Relic (Exceptional) ","Aksomati Prime Receiver (23.33%)","Stradavar Prime Receiver (23.33%)","Bronco Prime Receiver (23.33%)","Inaros Prime (13.0%)","Forma (13.0%)","Wukong Prime (4.0%)","Axi","W1","Exceptional","Aksomati Prime Receiver","Stradavar Prime Receiver","Bronco Prime Receiver","Inaros Prime","Forma","Wukong Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi W1 Relic (Flawless) ","Aksomati Prime Receiver (20.0%)","Stradavar Prime Receiver (20.0%)","Bronco Prime Receiver (20.0%)","Inaros Prime (17.0%)","Forma (17.0%)","Wukong Prime (6.0%)","Axi","W1","Flawless","Aksomati Prime Receiver","Stradavar Prime Receiver","Bronco Prime Receiver","Inaros Prime","Forma","Wukong Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi W1 Relic (Radiant) ","Inaros Prime (20.0%)","Forma (20.0%)","Aksomati Prime Receiver (16.67%)","Stradavar Prime Receiver (16.67%)","Bronco Prime Receiver (16.67%)","Wukong Prime (10.0%)","Axi","W1","Radiant","Inaros Prime","Forma","Aksomati Prime Receiver","Stradavar Prime Receiver","Bronco Prime Receiver","Wukong Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi W2 Relic (Intact) ","Baza Prime Receiver (25.33%)","Forma (25.33%)","Tekko Prime Gauntlet (25.33%)","Bronco Prime Barrel (11.0%)","Inaros Prime (11.0%)","Wukong Prime (2.0%)","Axi","W2","Intact","Baza Prime Receiver","Forma","Tekko Prime Gauntlet","Bronco Prime Barrel","Inaros Prime","Wukong Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi W2 Relic (Exceptional) ","Baza Prime Receiver (23.33%)","Forma (23.33%)","Tekko Prime Gauntlet (23.33%)","Bronco Prime Barrel (13.0%)","Inaros Prime (13.0%)","Wukong Prime (4.0%)","Axi","W2","Exceptional","Baza Prime Receiver","Forma","Tekko Prime Gauntlet","Bronco Prime Barrel","Inaros Prime","Wukong Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi W2 Relic (Flawless) ","Baza Prime Receiver (20.0%)","Forma (20.0%)","Tekko Prime Gauntlet (20.0%)","Bronco Prime Barrel (17.0%)","Inaros Prime (17.0%)","Wukong Prime (6.0%)","Axi","W2","Flawless","Baza Prime Receiver","Forma","Tekko Prime Gauntlet","Bronco Prime Barrel","Inaros Prime","Wukong Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi W2 Relic (Radiant) ","Bronco Prime Barrel (20.0%)","Inaros Prime (20.0%)","Baza Prime Receiver (16.67%)","Forma (16.67%)","Tekko Prime Gauntlet (16.67%)","Wukong Prime (10.0%)","Axi","W2","Radiant","Bronco Prime Barrel","Inaros Prime","Baza Prime Receiver","Forma","Tekko Prime Gauntlet","Wukong Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Axi Z1 Relic (Intact) ","Wukong Prime Neuroptics (25.33%)","Forma (25.33%)","Panthera Prime (25.33%)","Baza Prime Barrel (11.0%)","Zhuge Prime (11.0%)","Zakti Prime (2.0%)","Axi","Z1","Intact","Wukong Prime Neuroptics","Forma","Panthera Prime","Baza Prime Barrel","Zhuge Prime","Zakti Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Axi Z1 Relic (Exceptional) ","Wukong Prime Neuroptics (23.33%)","Forma (23.33%)","Panthera Prime (23.33%)","Baza Prime Barrel (13.0%)","Zhuge Prime (13.0%)","Zakti Prime (4.0%)","Axi","Z1","Exceptional","Wukong Prime Neuroptics","Forma","Panthera Prime","Baza Prime Barrel","Zhuge Prime","Zakti Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Axi Z1 Relic (Flawless) ","Wukong Prime Neuroptics (20.0%)","Forma (20.0%)","Panthera Prime (20.0%)","Baza Prime Barrel (17.0%)","Zhuge Prime (17.0%)","Zakti Prime (6.0%)","Axi","Z1","Flawless","Wukong Prime Neuroptics","Forma","Panthera Prime","Baza Prime Barrel","Zhuge Prime","Zakti Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Axi Z1 Relic (Radiant) ","Baza Prime Barrel (20.0%)","Zhuge Prime (20.0%)","Wukong Prime Neuroptics (16.67%)","Forma (16.67%)","Panthera Prime (16.67%)","Zakti Prime (10.0%)","Axi","Z1","Radiant","Baza Prime Barrel","Zhuge Prime","Wukong Prime Neuroptics","Forma","Panthera Prime","Zakti Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Lith A1 Relic (Intact) ","Braton Prime Barrel (25.33%)","Forma (25.33%)","Vasto Prime Receiver (25.33%)","Saryn Prime Neuroptics (11.0%)","Vectis Prime (11.0%)","Akstiletto Prime (2.0%)","Lith","A1","Intact","Braton Prime Barrel","Forma","Vasto Prime Receiver","Saryn Prime Neuroptics","Vectis Prime","Akstiletto Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Lith A1 Relic (Exceptional) ","Braton Prime Barrel (23.33%)","Forma (23.33%)","Vasto Prime Receiver (23.33%)","Saryn Prime Neuroptics (13.0%)","Vectis Prime (13.0%)","Akstiletto Prime (4.0%)","Lith","A1","Exceptional","Braton Prime Barrel","Forma","Vasto Prime Receiver","Saryn Prime Neuroptics","Vectis Prime","Akstiletto Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Lith A1 Relic (Flawless) ","Braton Prime Barrel (20.0%)","Forma (20.0%)","Vasto Prime Receiver (20.0%)","Saryn Prime Neuroptics (17.0%)","Vectis Prime (17.0%)","Akstiletto Prime (6.0%)","Lith","A1","Flawless","Braton Prime Barrel","Forma","Vasto Prime Receiver","Saryn Prime Neuroptics","Vectis Prime","Akstiletto Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Lith A1 Relic (Radiant) ","Saryn Prime Neuroptics (20.0%)","Vectis Prime (20.0%)","Braton Prime Barrel (16.67%)","Forma (16.67%)","Vasto Prime Receiver (16.67%)","Akstiletto Prime (10.0%)","Lith","A1","Radiant","Saryn Prime Neuroptics","Vectis Prime","Braton Prime Barrel","Forma","Vasto Prime Receiver","Akstiletto Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Lith A2 Relic (Intact) ","Lex Prime Barrel (25.33%)","Forma (25.33%)","Valkyr Prime (25.33%)","Akbronco Prime Link (11.0%)","Cernos Prime (11.0%)","Akstiletto Prime (2.0%)","Lith","A2","Intact","Lex Prime Barrel","Forma","Valkyr Prime","Akbronco Prime Link","Cernos Prime","Akstiletto Prime","25.33","25.33","25.33","11.0","11.0","2.0"
"Lith A2 Relic (Exceptional) ","Lex Prime Barrel (23.33%)","Forma (23.33%)","Valkyr Prime (23.33%)","Akbronco Prime Link (13.0%)","Cernos Prime (13.0%)","Akstiletto Prime (4.0%)","Lith","A2","Exceptional","Lex Prime Barrel","Forma","Valkyr Prime","Akbronco Prime Link","Cernos Prime","Akstiletto Prime","23.33","23.33","23.33","13.0","13.0","4.0"
"Lith A2 Relic (Flawless) ","Lex Prime Barrel (20.0%)","Forma (20.0%)","Valkyr Prime (20.0%)","Akbronco Prime Link (17.0%)","Cernos Prime (17.0%)","Akstiletto Prime (6.0%)","Lith","A2","Flawless","Lex Prime Barrel","Forma","Valkyr Prime","Akbronco Prime Link","Cernos Prime","Akstiletto Prime","20.0","20.0","20.0","17.0","17.0","6.0"
"Lith A2 Relic (Radiant) ","Akbronco Prime Link (20.0%)","Cernos Prime (20.0%)","Lex Prime Barrel (16.67%)","Forma (16.67%)","Valkyr Prime (16.67%)","Akstiletto Prime (10.0%)","Lith","A2","Radiant","Akbronco Prime Link","Cernos Prime","Lex Prime Barrel","Forma","Valkyr Prime","Akstiletto Prime","20.0","20.0","16.67","16.67","16.67","10.0"
"Lith A3 Relic (Intact) ","Rubico Prime Receiver (25.33%)","Orthos Prime Handle (25.33%)","Lex Prime (25.33%)","Akbolto Prime Barrel (11.0%)","Tiberon Prime (11.0%)","Akjagara Prime Barrel (2.0%)","Lith","A3","Intact","Rubico Prime Receiver","Orthos Prime Handle","Lex Prime","Akbolto Prime Barrel","Tiberon Prime","Akjagara Prime Barrel","25.33","25.33","25.33","11.0","11.0","2.0"
"Lith A3 Relic (Exceptional) ","Rubico Prime Receiver (23.33%)","Orthos Prime Handle (23.33%)","Lex Prime (23.33%)","Akbolto Prime Barrel (13.0%)","Tiberon Prime (13.0%)","Akjagara Prime Barrel (4.0%)","Lith","A3","Exceptional","Rubico Prime Receiver","Orthos Prime Handle","Lex Prime","Akbolto Prime Barrel","Tiberon Prime","Akjagara Prime Barrel","23.33","23.33","23.33","13.0","13.0","4.0"
"Lith A3 Relic (Flawless) ","Rubico Prime Receiver (20.0%)","Orthos Prime Handle (20.0%)","Lex Prime (20.0%)","Akbolto Prime Barrel (17.0%)","Tiberon Prime (17.0%)","Akjagara Prime Barrel (6.0%)","Lith","A3","Flawless","Rubico Prime Receiver","Orthos Prime Handle","Lex Prime","Akbolto Prime Barrel","Tiberon Prime","Akjagara Prime Barrel","20.0","20.0","20.0","17.0","17.0","6.0"
"Lith A3 Relic (Radiant) ","Akbolto Prime Barrel (20.0%)","Tiberon Prime (20.0%)","Rubico Prime Receiver (16.67%)","Orthos Prime Handle (16.67%)","Lex Prime (16.67%)","Akjagara Prime Barrel (10.0%)","Lith","A3","Radiant","Akbolto Prime Barrel","Tiberon Prime","Rubico Prime Receiver","Orthos Prime Handle","Lex Prime","Akjagara Prime Barrel","20.0","20.0","16.67","16.67","16.67","10.0"
